glyph_id	text	unicode	source_unit	unit_kind
389	敵	U+6575	敵	fullwidth_single
390	身	U+8EAB	身	fullwidth_single
391	上	U+4E0A	上	fullwidth_single
392	丟	U+4E1F	丟	fullwidth_single
393	棄	U+68C4	棄	fullwidth_single
394	壞	U+58DE	壞	fullwidth_single
395	在	U+5728	在	fullwidth_single
396	伍	U+4F0D	伍	fullwidth_single
397	似	U+4F3C	似	fullwidth_single
398	乎	U+4E4E	乎	fullwidth_single
399	沒	U+6C92	沒	fullwidth_single
400	有	U+6709	有	fullwidth_single
401	以	U+4EE5	以	fullwidth_single
402	備	U+5099	備	fullwidth_single
403	喔	U+5594	喔	fullwidth_single
404	您	U+60A8	您	fullwidth_single
405	錢	U+9322	錢	fullwidth_single
406	夠	U+5920	夠	fullwidth_single
407	歡	U+6B61	歡	fullwidth_single
408	迎	U+8FCE	迎	fullwidth_single
409	臨	U+81E8	臨	fullwidth_single
410	需	U+9700	需	fullwidth_single
411	什	U+4EC0	什	fullwidth_single
412	烈	U+70C8	烈	fullwidth_single
413	落	U+843D	落	fullwidth_single
414	轟	U+8F5F	轟	fullwidth_single
415	彈	U+5F48	彈	fullwidth_single
416	治	U+6CBB	治	fullwidth_single
417	療	U+7642	療	fullwidth_single
418	攻	U+653B	攻	fullwidth_single
419	防	U+9632	防	fullwidth_single
420	禦	U+79A6	禦	fullwidth_single
421	祛	U+795B	祛	fullwidth_single
422	施	U+65BD	施	fullwidth_single
423	庳	U+5EB3	庳	fullwidth_single
424	淒	U+6DD2	淒	fullwidth_single
425	煌	U+714C	煌	fullwidth_single
426	熾	U+71BE	熾	fullwidth_single
427	音	U+97F3	音	fullwidth_single
428	使	U+4F7F	使	fullwidth_single
429	邪	U+90AA	邪	fullwidth_single
430	完	U+5B8C	完	fullwidth_single
431	畢	U+7562	畢	fullwidth_single
432	能	U+80FD	能	fullwidth_single
433	由	U+7531	由	fullwidth_single
434	商	U+5546	商	fullwidth_single
435	店	U+5E97	店	fullwidth_single
436	內	U+5167	內	fullwidth_single
437	增	U+589E	增	fullwidth_single
438	加	U+52A0	加	fullwidth_single
439	效	U+6548	效	fullwidth_single
440	果	U+679C	果	fullwidth_single
441	消	U+6D88	消	fullwidth_single
442	失	U+5931	失	fullwidth_single
443	性	U+6027	性	fullwidth_single
444	痲	U+75F2	痲	fullwidth_single
445	痺	U+75FA	痺	fullwidth_single
446	作	U+4F5C	作	fullwidth_single
447	減	U+6E1B	減	fullwidth_single
448	少	U+5C11	少	fullwidth_single
449	點	U+9EDE	點	fullwidth_single
450	經	U+7D93	經	fullwidth_single
451	驗	U+9A57	驗	fullwidth_single
452	級	U+7D1A	級	fullwidth_single
453	升	U+5347	升	fullwidth_single
454	酒	U+9152	酒	fullwidth_single
455	器	U+5668	器	fullwidth_single
456	出	U+51FA	出	fullwidth_single
457	口	U+53E3	口	fullwidth_single
458	教	U+6559	教	fullwidth_single
459	會	U+6703	會	fullwidth_single
460	呃	U+5443	呃	fullwidth_single
461	買	U+8CB7	買	fullwidth_single
462	東	U+6771	東	fullwidth_single
463	這	U+9019	這	fullwidth_single
464	個	U+500B	個	fullwidth_single
465	啊	U+554A	啊	fullwidth_single
466	還	U+9084	還	fullwidth_single
467	帶	U+5E36	帶	fullwidth_single
468	壹	U+58F9	壹	fullwidth_single
469	給	U+7D66	給	fullwidth_single
470	誰	U+8AB0	誰	fullwidth_single
471	呢	U+5462	呢	fullwidth_single
472	入	U+5165	入	fullwidth_single
473	 <	U+0020 U+003C	 <	halfwidth_pair
474	< 	U+003C U+0020	< 	halfwidth_pair
475	儲	U+5132	儲	fullwidth_single
476	存	U+5B58	存	fullwidth_single
477	 >	U+0020 U+003E	 >	halfwidth_pair
478	> 	U+003E U+0020	> 	halfwidth_pair
479	第	U+7B2C	第	fullwidth_single
480	二	U+4E8C	二	fullwidth_single
481	四	U+56DB	四	fullwidth_single
482	五	U+4E94	五	fullwidth_single
483	六	U+516D	六	fullwidth_single
484	七	U+4E03	七	fullwidth_single
485	八	U+516B	八	fullwidth_single
486	九	U+4E5D	九	fullwidth_single
487	一	U+4E00	一	fullwidth_single
488	）	U+FF09	）	fullwidth_single
489	孤	U+5B64	孤	fullwidth_single
490	島	U+5CF6	島	fullwidth_single
491	鎮	U+93AE	鎮	fullwidth_single
492	往	U+5F80	往	fullwidth_single
493	途	U+9014	途	fullwidth_single
494	前	U+524D	前	fullwidth_single
495	普	U+666E	普	fullwidth_single
496	茲	U+8332	茲	fullwidth_single
497	港	U+6E2F	港	fullwidth_single
498	城	U+57CE	城	fullwidth_single
499	抉	U+6289	抉	fullwidth_single
500	擇	U+64C7	擇	fullwidth_single
501	洞	U+6D1E	洞	fullwidth_single
502	窟	U+7A9F	窟	fullwidth_single
503	幻	U+5E7B	幻	fullwidth_single
504	森	U+68EE	森	fullwidth_single
505	林	U+6797	林	fullwidth_single
506	北	U+5317	北	fullwidth_single
507	山	U+5C71	山	fullwidth_single
508	平	U+5E73	平	fullwidth_single
509	原	U+539F	原	fullwidth_single
